"","Shannon","Simpson","Invsimpson","Richness","TreeSampleType","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"1",5.91389527980333,0.992704710336048,137.074749059138,1434,"E1_Root","E1-1_Root","Eucalyptus","1","Root","Eucalyptus_Root","1",0.418696954741664,0.0920876111300334,0.489215434128303,476,223,735
"2",6.47272175978892,0.995057021654329,202.307177994391,2197,"E1_Soil","E1-N_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","N",0.41738160661619,0.154252353087398,0.428366040296412,565,497,1135
"3",5.513732701498,0.98453330849054,64.6550685638457,1312,"E2_Root","E2-1_Root","Eucalyptus","2","Root","Eucalyptus_Root","1",0.396148042010274,0.0909562062710547,0.512895751718671,436,196,680
"4",6.55692558692686,0.995585846306492,226.543992220037,2220,"E2_Soil","E2-N_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","N",0.423574732837962,0.122830063989942,0.453595203172096,638,398,1184
"5",5.74970500553754,0.990614423070077,106.546460325934,990,"E3_Root","E3-1_Root","Eucalyptus","3","Root","Eucalyptus_Root","1",0.508420053097688,0.0559657384260605,0.435614208476251,390,103,497
"6",6.88136308636726,0.996334394572599,272.806230732016,2819,"E3_Soil","E3-N_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","N",0.410780154924382,0.131771354797913,0.457448490277705,741,489,1589
"7",5.85088257096056,0.991878530227844,123.130421962344,1285,"E4_Root","E4-1_Root","Eucalyptus","4","Root","Eucalyptus_Root","1",0.313465944880093,0.205143185780926,0.481390869338981,390,234,661
"8",6.56249829782497,0.995518389708029,223.134082361305,2291,"E4_Soil","E4-N_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","N",0.36611787992671,0.193276805178478,0.440605314894812,516,599,1176
"9",6.12928169150814,0.994296469723614,175.330006424308,1331,"E5_Root","E5-1_Root","Eucalyptus","5","Root","Eucalyptus_Root","1",0.496895032051282,0.0983824118589744,0.404722556089744,441,201,689
"10",6.71565642490444,0.996528229849021,288.037501479757,2264,"E5_Soil","E5-N_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","N",0.378965693648018,0.158039811555583,0.462994494796399,545,455,1264
"11",6.11645134352322,0.994885696181804,195.530034105937,1494,"E6_Root","E6-1_Root","Eucalyptus","6","Root","Eucalyptus_Root","1",0.347369171030601,0.122056570838232,0.530574258131167,512,234,748
"12",6.70280632652405,0.996305958581249,270.706222979514,2561,"E6_Soil","E6-N_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","N",0.353812390496456,0.217558154338614,0.42862945516493,597,656,1308
"13",5.78169120805017,0.988336882843198,85.740371682435,1324,"E7_Root","E7-1_Root","Eucalyptus","7","Root","Eucalyptus_Root","1",0.404126694971279,0.155357064155489,0.440516240873232,438,209,677
"14",6.59151752465673,0.995385162541771,216.692355700792,2652,"E7_Soil","E7-N_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","N",0.368763075829945,0.173301622389768,0.457935301780287,639,595,1418
"15",6.24367600533944,0.992863718238062,140.128996213916,1819,"E8_Root","E8-1_Root","Eucalyptus","8","Root","Eucalyptus_Root","1",0.441656360161112,0.0865680328573602,0.471775606981528,558,258,1003
"16",6.69106110299086,0.995945899612245,246.663847550612,2575,"E8_Soil","E8-N_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","N",0.373736001876705,0.14741397404714,0.478850024076155,604,544,1427
"17",5.71419429548876,0.990033359783411,100.334714434217,1492,"E9_Root","E9-1_Root","Eucalyptus","9","Root","Eucalyptus_Root","1",0.325912334083574,0.182645026302415,0.491442639614011,422,226,844
"18",6.49960828517326,0.995052432803102,202.119538796155,2259,"E9_Soil","E9-N_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","N",0.396263206861833,0.152192753272243,0.451544039865924,568,526,1165
"19",5.46429149996301,0.989445830682393,94.7492853209879,1001,"P1_Root","P1-1_Root","Pine","1","Root","Pine_Root","1",0.339655236056255,0.168639031412646,0.491705732531099,332,160,509
"20",5.97331915468956,0.9914164024895,116.501268701937,1783,"P1_Soil","P1-N_Soil","Pine","1","Soil","Pine_Soil","N",0.4206780934361,0.0714404963966721,0.507881410167228,565,229,989
"21",5.88271213753444,0.992783662524619,138.574450462102,1366,"P2_Root","P2-1_Root","Pine","2","Root","Pine_Root","1",0.370693427051136,0.114903106519315,0.514403466429549,432,211,723
"22",6.64102913002018,0.995649877447253,229.878581091561,2355,"P2_Soil","P2-N_Soil","Pine","2","Soil","Pine_Soil","N",0.40532285576825,0.155975273723958,0.438701870507793,645,475,1235
"23",5.62296757315509,0.990896431116424,109.847029531917,1004,"P3_Root","P3-1_Root","Pine","3","Root","Pine_Root","1",0.301408832294771,0.0716156416508625,0.626975526054366,309,154,541
"24",6.34186253134054,0.995274335959571,211.610472400261,1889,"P3_Soil","P3-N_Soil","Pine","3","Soil","Pine_Soil","N",0.331737708781336,0.182424072819395,0.485838218399269,470,459,960
"25",5.81215179294352,0.992972991471468,142.308066930565,1171,"P4_Root","P4-1_Root","Pine","4","Root","Pine_Root","1",0.312637392513419,0.174495288844699,0.512867318641882,343,215,613
"26",6.3533366306205,0.994783039243416,191.682484622466,1948,"P4_Soil","P4-N_Soil","Pine","4","Soil","Pine_Soil","N",0.341260803095067,0.195617921437709,0.463121275467224,433,483,1032
"27",6.06723295518765,0.991850723666369,122.71028236865,1824,"P5_Root","P5-1_Root","Pine","5","Root","Pine_Root","1",0.48961476609508,0.103477404549808,0.406907829355113,631,238,955
"28",5.95107885921777,0.992055723637244,125.87678906642,1390,"P5_Soil","P5-N_Soil","Pine","5","Soil","Pine_Soil","N",0.349528171194811,0.128241276463973,0.522230552341216,400,226,764
"29",5.61377442633227,0.987223398740105,78.2680761227883,1282,"P6_Root","P6-1_Root","Pine","6","Root","Pine_Root","1",0.273468506169173,0.222454709900375,0.504076783930452,371,291,620
"30",6.50412870313607,0.995265796586387,211.228777606905,2184,"P6_Soil","P6-N_Soil","Pine","6","Soil","Pine_Soil","N",0.382369349642254,0.209110308372502,0.408520341985244,536,568,1080
"31",5.70953990515422,0.987575964419251,80.4891448918201,1487,"P7_Root","P7-1_Root","Pine","7","Root","Pine_Root","1",0.294447507719453,0.159081385090428,0.546471107190119,420,233,834
"32",6.45586966350176,0.994881384829866,195.365341359286,2144,"P7_Soil","P7-N_Soil","Pine","7","Soil","Pine_Soil","N",0.382996543472481,0.132810422759904,0.484193033767615,524,399,1221
"33",6.03747590528924,0.992390677415409,131.41774302288,1569,"P8_Root","P8-1_Root","Pine","8","Root","Pine_Root","1",0.429462960884799,0.119471564483348,0.451065474631853,475,251,843
"34",6.23602399482035,0.99252149446393,133.716555423646,2011,"P8_Soil","P8-N_Soil","Pine","8","Soil","Pine_Soil","N",0.397647671661023,0.137006675896859,0.465345652442117,558,385,1068
"35",5.84742220046899,0.991204394650267,113.693141090093,1497,"P9_Root","P9-1_Root","Pine","9","Root","Pine_Root","1",0.502482949171106,0.0965798775327326,0.400937173296162,489,219,789
"36",6.73411853235402,0.995786288978537,237.320498464762,2585,"P9_Soil","P9-N_Soil","Pine","9","Soil","Pine_Soil","N",0.410834910393782,0.170847841167002,0.418317248439215,651,591,1343
