"","Shannon","Simpson","Invsimpson","Richness","TreeSampleType","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","AMF_abund","ECM_abund","Endo_abund","Other_abund.x","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_abund.y","Path_richness","Sap_richness"
"1",2.93004644000514,0.827234054933105,5.78817775466571,303,"E1_Root","E1-1_Root","Eucalyptus","1","Root","Eucalyptus_Root","1",0,0.422007471534349,0.0361329217278482,0.067221439277006,0.0170793906449232,0.457558776815874,0,16,10,83,33,161
"2",4.41758756227299,0.969094033342357,32.3562117010409,819,"E1_Soil","E1-N_Soil","Eucalyptus","1","Soil","Eucalyptus_Soil","N",5.9343659130022e-05,0.29612485905881,0.0182432298775542,0.0875516784364924,0.0169178881569838,0.58110300081103,2,54,16,220,67,460
"3",2.44936420363151,0.826241507224108,5.7551143775733,192,"E2_Root","E2-1_Root","Eucalyptus","2","Root","Eucalyptus_Root","1",0,0.54451105328437,0.0392215277608891,0.0197354021255381,0.01733383593959,0.379198180889613,0,18,5,40,21,108
"4",3.8186015645543,0.939561327159709,16.5456975311568,610,"E2_Soil","E2-N_Soil","Eucalyptus","2","Soil","Eucalyptus_Soil","N",0,0.349194560769695,0.0238996483091047,0.0517330599024465,0.0139191015112167,0.561253629507537,0,34,11,176,60,329
"5",3.40999096755775,0.923170275195282,13.0157956772818,475,"E3_Root","E3-1_Root","Eucalyptus","3","Root","Eucalyptus_Root","1",0.000252712142818462,0.0896676835321937,0.0184524991425838,0.0849428690048557,0.0140887019621293,0.792595534215419,5,24,15,145,41,245
"6",4.34610134675767,0.96069126270828,25.439636805903,945,"E3_Soil","E3-N_Soil","Eucalyptus","3","Soil","Eucalyptus_Soil","N",6.61494410372232e-05,0.226330312508859,0.00654406970261101,0.0906719838217367,0.0243571691819204,0.652030315343835,3,44,21,283,82,512
"7",2.35657173829614,0.791337275578908,4.79242280946139,176,"E4_Root","E4-1_Root","Eucalyptus","4","Root","Eucalyptus_Root","1",0,0.259806824786207,0.0150610245481969,0.432524285279385,0.00692441812193839,0.285683447264274,0,16,9,32,14,105
"8",3.9909170822087,0.957697686729825,23.6393691667221,664,"E4_Soil","E4-N_Soil","Eucalyptus","4","Soil","Eucalyptus_Soil","N",4.78134891415566e-05,0.220334120662121,0.0029548736289482,0.0440649115928586,0.0209423082440018,0.711655972382929,2,54,12,175,52,369
"9",2.70407440092486,0.822495895200725,5.6336725346764,327,"E5_Root","E5-1_Root","Eucalyptus","5","Root","Eucalyptus_Root","1",0.000903280949513394,0.0201635618407506,0.0905806251092679,0.0885263894015035,0.0385254181316653,0.761300724567299,5,9,11,109,43,150
"10",4.35307666976029,0.966384878983355,29.748517029132,756,"E5_Soil","E5-N_Soil","Eucalyptus","5","Soil","Eucalyptus_Soil","N",0.00195970687064476,0.217191929703418,0.037010741916817,0.0805327679522279,0.0403077177438571,0.622997135813035,6,43,15,215,68,409
"11",3.81413607804399,0.953495319781366,21.5032120487374,477,"E6_Root","E6-1_Root","Eucalyptus","6","Root","Eucalyptus_Root","1",0,0.0674020992244559,0.0365817120909238,0.0655209504958276,0.0260954130423037,0.804399825146489,0,21,12,133,52,259
"12",3.90270485173742,0.957267374703943,23.401323767774,529,"E6_Soil","E6-N_Soil","Eucalyptus","6","Soil","Eucalyptus_Soil","N",0.000179792193673824,0.157397612526917,0.00513871176802626,0.0636715238433717,0.00993038279012397,0.763681976877888,7,43,4,139,40,296
"13",3.56251995341619,0.94665833330143,18.7470707589798,333,"E7_Root","E7-1_Root","Eucalyptus","7","Root","Eucalyptus_Root","1",0.000180511417347147,0.097423912062438,0.041075848047389,0.0765415912556469,0.0247015623738201,0.760076574843359,6,23,14,75,38,177
"14",4.1558267905847,0.964763724327001,28.3798438086998,715,"E7_Soil","E7-N_Soil","Eucalyptus","7","Soil","Eucalyptus_Soil","N",0.000589446485526263,0.111251968186039,0.0169566797206185,0.0672614962251201,0.0431830110218418,0.760757398360854,17,51,15,168,61,403
"15",2.83867354145857,0.816647575132164,5.45397750109289,410,"E8_Root","E8-1_Root","Eucalyptus","8","Root","Eucalyptus_Root","1",0,0.494945229385338,0.0278661083608501,0.0273267971528438,0.0338341465400133,0.416027718560955,0,18,19,116,49,208
"16",4.45270617845863,0.972904262470861,36.9061738557438,906,"E8_Soil","E8-N_Soil","Eucalyptus","8","Soil","Eucalyptus_Soil","N",0.000232732538594813,0.120064130743968,0.0197133079913458,0.116857593545551,0.0563212743399447,0.686810960840595,4,49,20,263,85,485
"17",2.35815249123562,0.762883083274046,4.21732879209012,228,"E9_Root","E9-1_Root","Eucalyptus","9","Root","Eucalyptus_Root","1",1.36873802354229e-05,0.488986221370563,0.057377497946893,0.0289989962587827,0.0237704170088512,0.400853180034675,1,16,12,45,19,135
"18",4.29527460779046,0.968320476955302,31.566131806626,908,"E9_Soil","E9-N_Soil","Eucalyptus","9","Soil","Eucalyptus_Soil","N",8.24638772363845e-05,0.0882399340288982,0.0106521817073608,0.0982933562798035,0.0215553404323975,0.781176723674304,4,37,24,246,86,511
"19",2.7911095449511,0.864233701244003,7.36559815773743,233,"P1_Root","P1-1_Root","Pine","1","Root","Pine_Root","1",0,0.391343253192162,0.0175910496225131,0.0364359236774563,0.0337139458497875,0.520915827658081,0,18,4,46,25,140
"20",3.54094610223529,0.913916318672447,11.6166035719934,511,"P1_Soil","P1-N_Soil","Pine","1","Soil","Pine_Soil","N",0,0.37289464573023,0.0148927720413026,0.0709506934685648,0.0299077411865339,0.511354147573369,0,17,6,162,58,268
"21",3.24573216719123,0.933166654670887,14.9625908306044,253,"P2_Root","P2-1_Root","Pine","2","Root","Pine_Root","1",2.79898788598043e-05,0.19704314919725,0.0424886361091829,0.0671309254573546,0.034897780962404,0.658411518394948,2,20,8,53,34,136
"22",3.8012336553053,0.929019147837149,14.0883064873003,736,"P2_Soil","P2-N_Soil","Pine","2","Soil","Pine_Soil","N",4.03402927808805e-05,0.146184256528404,0.0322139649129098,0.0575700800530699,0.0314474993500731,0.732543858862762,3,48,19,201,81,384
"23",2.99361220505298,0.89616800804207,9.63094303733643,259,"P3_Root","P3-1_Root","Pine","3","Root","Pine_Root","1",1.06977042726631e-05,0.34825841374441,0.0409347653993453,0.0144632961766405,0.00460536168938146,0.59172746528595,1,23,8,52,26,149
"24",3.79266426126821,0.95557615701766,22.5104343268442,474,"P3_Soil","P3-N_Soil","Pine","3","Soil","Pine_Soil","N",0,0.225318763862996,0.0209288717732388,0.0487569229931825,0.00947106290908596,0.695524378461497,0,44,6,106,51,267
"25",3.34104391099772,0.940710964594428,16.8665250355215,247,"P4_Root","P4-1_Root","Pine","4","Root","Pine_Root","1",0,0.205029169541801,0.0112914355357607,0.0851114357149898,0.0974289580514208,0.601139001156028,0,18,10,55,22,142
"26",4.10283708623607,0.961568699327684,26.0204568283153,650,"P4_Soil","P4-N_Soil","Pine","4","Soil","Pine_Soil","N",2.88339944556348e-05,0.133439607198613,0.0121432308078873,0.08221807561921,0.0174486857877241,0.75472156659211,1,43,7,148,51,400
"27",3.31405437346591,0.917897554687256,12.1799051927237,391,"P5_Root","P5-1_Root","Pine","5","Root","Pine_Root","1",0,0.212115522668286,0.0342592081285549,0.103948312993539,0.101463360759843,0.548213595449776,0,18,8,117,50,198
"28",4.04024996951205,0.964812630664624,28.4192884801601,517,"P5_Soil","P5-N_Soil","Pine","5","Soil","Pine_Soil","N",0,0.209782525240892,0.009160620369304,0.0913422780145111,0.0291805827478982,0.660533993627395,0,26,9,150,43,289
"29",2.98989501123777,0.89288418281887,9.33568940905364,275,"P6_Root","P6-1_Root","Pine","6","Root","Pine_Root","1",0,0.352728149120637,0.00521338736990315,0.0472058907471888,0.0909742438368502,0.503878328925421,0,21,6,73,31,144
"30",4.30407917219929,0.966566439725733,29.9100661669484,950,"P6_Soil","P6-N_Soil","Pine","6","Soil","Pine_Soil","N",6.82349794339772e-05,0.0327254961365355,0.00605926617373718,0.107456445612627,0.0632074261492818,0.790483130948384,2,43,17,275,98,515
"31",2.81786251179333,0.892850931575641,9.33279229306542,220,"P7_Root","P7-1_Root","Pine","7","Root","Pine_Root","1",0,0.259044614101914,0.00228056695384917,0.03092252611617,0.00336363190504994,0.704388660923017,0,17,5,53,17,128
"32",4.09040692809107,0.958453034665305,24.0691466138184,620,"P7_Soil","P7-N_Soil","Pine","7","Soil","Pine_Soil","N",0,0.19055040275001,0.0106197763835765,0.0926258231996473,0.0110383336079187,0.695165664058847,0,44,11,161,62,342
"33",3.16008175940129,0.897581556272791,9.76386638585811,325,"P8_Root","P8-1_Root","Pine","8","Root","Pine_Root","1",0,0.0354745161962888,0.0673629143842757,0.101063325688508,0.130828863321898,0.66527038040903,0,15,9,84,32,185
"34",4.34572942062356,0.96451455432902,28.1805675845802,699,"P8_Soil","P8-N_Soil","Pine","8","Soil","Pine_Soil","N",7.2928195756437e-05,0.0940216039055194,0.0162372482904773,0.181762803188249,0.0460777500364641,0.661827666383534,1,20,17,215,79,367
"35",3.1015930324704,0.918972741666077,12.341525809486,276,"P9_Root","P9-1_Root","Pine","9","Root","Pine_Root","1",4.40620834756171e-05,0.223758275410053,0.0284714496058279,0.0993269516749099,0.0982327432685988,0.550166517957135,3,14,7,69,27,156
"36",4.39064686482212,0.971114558048997,34.6195153148867,829,"P9_Soil","P9-N_Soil","Pine","9","Soil","Pine_Soil","N",0.00027096890739315,0.215811680910456,0.0143828575606777,0.0972950421292135,0.0211398758704339,0.651099574621826,9,35,20,256,80,429
