"","Sample","Bac_Shannon","Bac_Simpson","Bac_Invsimpson","Bac_Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness","Fungal_Shannon","Fungal_Simpson","Fungal_Invsimpson","Fungal_Richness","AMF_abund","ECM_abund","Endo_abund","Other_abund","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_richness","Path_richness","Sap_richness","AMF_Shannon","AMF_Simpson","AMF_Invsimpson","AMF_Richness","perc_N","perc_C","CN_ratio"
"1","E1N",6.07206495988587,0.993647017020172,157.406371648599,1312,"E1-N_Soil","Eucalyptus",1,"Soil","Eucalyptus_Soil","N","E1_Soil",0.424759884939788,0.132758032275364,0.442482082784847,383,245,684,3.83878512430913,0.942473640484718,17.3833353687945,464,0,0.253242964226402,0.0108510256295166,0.0911733022128462,0.017740921944432,0.626991785986804,0,20,10,128,45,261,2.1059677042502,0.808149076268937,5.21238042826314,21,0.14,3.92,28
"2","E1S",6.22836643102259,0.994744063133273,190.261037253038,1335,"E1-S_Soil","Eucalyptus",1,"Soil","Eucalyptus_Soil","S","E1_Soil",0.408319985629388,0.180650569585198,0.411029444785414,339,357,639,4.13030349037605,0.947196863904059,18.9382690865754,555,0.000106104548348306,0.329914408997666,0.024068048383674,0.0846979557190352,0.0162693640800736,0.544944118271203,2,40,11,136,43,323,2.06477484140365,0.797815037407389,4.9459662438642,17,0.08,1.84,23
"3","E2N",6.45494750543893,0.996079826594496,255.090756596652,1512,"E2-N_Soil","Eucalyptus",2,"Soil","Eucalyptus_Soil","N","E2_Soil",0.397469180673204,0.148971205625362,0.453559613701435,412,319,781,3.50090405157638,0.912268977983882,11.3984765823916,416,0,0.472533658582352,0.025313130365436,0.0529155134399775,0.00816249941361355,0.441075198198621,0,30,9,98,34,245,1.56490823071051,0.684379766675073,3.1683646813939,17,0.13,3.68,28.30769231
"4","E2S",5.89089171549845,0.992227395377105,128.657000904734,1079,"E2-S_Soil","Eucalyptus",2,"Soil","Eucalyptus_Soil","S","E2_Soil",0.454625659485116,0.0917368058864009,0.453637534628483,359,149,571,3.19361334642813,0.854131530194211,6.85549112382826,366,0,0.220463959420687,0.0224243789230423,0.0504989179502747,0.0199273410953673,0.686685402610629,0,12,7,114,41,192,NA,NA,NA,NA,0.07,1.85,26.42857143
"5","E3N",6.55952965842257,0.995756040746928,235.629029490821,1686,"E3-N_Soil","Eucalyptus",3,"Soil","Eucalyptus_Soil","N","E3_Soil",0.391156362350445,0.157334826427772,0.451508811221783,430,318,938,3.70032533986337,0.892683708432263,9.31824968410139,585,0,0.351322399143015,0.00372331020998222,0.0586889371925409,0.0180965356574555,0.568168817797007,0,29,12,151,53,340,2.53794002674495,0.886615265365524,8.81952939453227,27,0.13,3.28,25.23076923
"6","E3S",6.61824418985656,0.995921935161927,245.214345457171,1865,"E3-S_Soil","Eucalyptus",3,"Soil","Eucalyptus_Soil","S","E3_Soil",0.426645065993234,0.111104493257731,0.462250440749035,542,305,1018,4.37577525139528,0.972973374089015,37.0005491360113,661,0.000121221567048515,0.122269267735148,0.00889246781134461,0.117299183486159,0.029569403676477,0.721848455723823,3,29,16,205,57,351,2.3553075266494,0.871512327130363,7.78284778349592,20,0.15,4.46,29.73333333
"7","E4N",6.45097624325108,0.995255603543965,210.774965639313,1697,"E4-N_Soil","Eucalyptus",4,"Soil","Eucalyptus_Soil","N","E4_Soil",0.340562202346382,0.199256591938669,0.460181205714949,398,456,843,3.39273937831219,0.911701784453647,11.3252571845582,401,0.000111663223717269,0.306805873485568,0.00426553514599967,0.031522528055385,0.0194070682820613,0.637887331807269,2,26,6,98,28,241,1.94957263259631,0.775511772894098,4.45457658466986,23,0.1,2.47,24.7
"8","E4S",6.14600485529078,0.994321642873462,176.107274994472,1225,"E4-S_Soil","Eucalyptus",4,"Soil","Eucalyptus_Soil","S","E4_Soil",0.400791149215155,0.185163588224169,0.414045262560676,299,312,614,3.86026711224274,0.949522212851049,19.8106940989546,487,0,0.155580269418267,0.00197339264660384,0.0534571999565185,0.022091963442065,0.766897174536545,0,40,8,123,40,276,2.23962274102299,0.771210273110834,4.37082562052463,25,0.11,3.08,28
"9","E5N",6.49413051549413,0.996256109029552,267.101795403056,1541,"E5-N_Soil","Eucalyptus",5,"Soil","Eucalyptus_Soil","N","E5_Soil",0.386593818567547,0.146354931051018,0.467051250381435,388,300,853,3.61456084236828,0.917525582193,12.1249719196578,393,0.003202416918429,0.151248741188318,0.0629808660624371,0.0729808660624371,0.0352769385699899,0.674310171198389,5,22,9,104,38,215,2.02079048191821,0.753011583680304,4.04877287324125,21,0.1,3.13,31.3
"10","E5S",6.34867893664624,0.995661959588337,230.518829956352,1330,"E5-S_Soil","Eucalyptus",5,"Soil","Eucalyptus_Soil","S","E5_Soil",0.370518761665701,0.17097895346592,0.458502284868379,350,279,701,4.38024962851796,0.97244597841147,36.2923429085314,573,0.000799300377081707,0.278767760924555,0.0127605954317633,0.0875845142604591,0.0450053129966241,0.575082516009516,2,30,10,162,49,320,1.17713407231098,0.544794793785436,2.19681142998317,9,0.12,2.73,22.75
"11","E6N",6.2751953955145,0.995212028874165,208.856731529607,1426,"E6-N_Soil","Eucalyptus",6,"Soil","Eucalyptus_Soil","N","E6_Soil",0.40595876315686,0.154238376741686,0.439802860101454,384,310,732,3.53546043229843,0.941394883125831,17.0633564667588,303,8.31439498919129e-05,0.263852705873658,0.00501635164347874,0.0367588640688801,0.013358461282634,0.680930473181457,1,28,2,70,28,174,1.38416085260483,0.507615884847925,2.03093473007582,17,0.1,3.25,32.5
"12","E6S",6.53409104812015,0.996045151318826,252.854174866437,1773,"E6-S_Soil","Eucalyptus",6,"Soil","Eucalyptus_Soil","S","E6_Soil",0.308939971576169,0.272045387895057,0.419014640528774,390,513,870,3.37261645997252,0.909591858983737,11.0609508033144,367,0.000259702564180906,0.0693787761898579,0.00523988114788533,0.0859233571903238,0.00709599065070769,0.832102292257044,7,22,4,91,26,217,2.91359976203798,0.92358775925552,13.086908462009,32,0.08,1.76,22
"13","E7N",6.18347750476309,0.994033059792926,167.590082235852,1515,"E7-N_Soil","Eucalyptus",7,"Soil","Eucalyptus_Soil","N","E7_Soil",0.344650821430588,0.164105459267205,0.491243719302207,374,359,782,3.96637400756022,0.943567222100577,17.720198034239,587,0.000811255591868901,0.0530329369770299,0.0180407791144179,0.0765748016286922,0.0177549080963308,0.83378531859166,12,43,10,122,51,349,2.17145178051626,0.790499877930412,4.77326690849295,26,0.08,2,25
"14","E7S",6.50472922813562,0.995390686638417,216.952053712536,1902,"E7-S_Soil","Eucalyptus",7,"Soil","Eucalyptus_Soil","S","E7_Soil",0.387479294297058,0.180439793512651,0.432080912190291,479,432,991,3.66441481170332,0.945271362639998,18.2719696348742,345,0.000346690794091036,0.174968924666627,0.0157702031946288,0.0570686870565952,0.0710124216774761,0.680833072610582,5,22,9,80,32,197,2.25860071074589,0.872739903516387,7.85792269243461,13,0.08,2.51,31.375
"15","E8N",6.67573700479496,0.996379153670855,276.178525432197,1868,"E8-N_Soil","Eucalyptus",8,"Soil","Eucalyptus_Soil","N","E8_Soil",0.349618265017539,0.188427785937102,0.461953949045359,438,414,1016,4.63629102862895,0.978318143402431,46.1215115735112,736,0.000436540016168149,0.0999434114793856,0.019482619240097,0.12482619240097,0.0899191592562652,0.665392077607114,4,37,16,221,74,384,2.57629698156364,0.900436057719342,10.0437967510479,21,0.14,3.56,25.42857143
"16","E8S",6.03967998601775,0.993875660254141,163.2829074638,1262,"E8-S_Soil","Eucalyptus",8,"Soil","Eucalyptus_Soil","S","E8_Soil",0.398698476111509,0.104963630196359,0.496337893692132,340,238,684,3.75297212078687,0.949039318744355,19.622971580452,433,0,0.143040451969056,0.0199767368868046,0.107758063622768,0.0179550615733988,0.711269685947972,0,24,9,109,42,249,2.46442356929582,0.89095662460624,9.17066255871992,22,0.11,2.98,27.09090909
"17","E9N",6.29790626241202,0.99459657913762,185.067945930731,1543,"E9-N_Soil","Eucalyptus",9,"Soil","Eucalyptus_Soil","N","E9_Soil",0.417522877367324,0.139910862536048,0.442566260096628,407,348,788,4.16444812714307,0.965172242107195,28.7127297449883,655,0,0.0597101975219037,0.0105630151900047,0.117411478044481,0.0175488620457255,0.794766447197885,0,25,22,174,67,367,2.14241812516128,0.836856426946037,6.12957029983174,19,0.09,2.89,32.11111111
"18","E9S",6.31941705697927,0.994795847898675,192.154260776776,1541,"E9-S_Soil","Eucalyptus",9,"Soil","Eucalyptus_Soil","S","E9_Soil",0.374096973641393,0.16499837292548,0.460904653433127,409,373,759,4.13858229252824,0.965235333424469,28.7648379376046,565,0.000184593653188655,0.123573412093292,0.0107626125619994,0.0746159649432575,0.0265172795711007,0.764346137177162,4,20,13,143,52,333,2.84668812662809,0.930996873167918,14.4920968934275,25,0.07,1.72,24.57142857
"19","P1N",4.89997418026906,0.981556038028567,54.218285721304,663,"P1-N_Soil","Pine",1,"Soil","Pine_Soil","N","P1_Soil",0.405588358821059,0.037700422462139,0.556711218716802,237,67,359,3.25435259829286,0.936987105340777,15.869767694502,219,0,0.269948486122792,0.00945297168488926,0.060607653490328,0.00421397532940847,0.655776913372582,0,11,3,39,18,148,1.91178005021614,0.776851809892216,4.48132695818408,16,0.14,3.28,23.42857143
"20","P1S",6.00349179189457,0.990772638926015,108.373346613616,1222,"P1-S_Soil","Pine",1,"Soil","Pine_Soil","S","P1_Soil",0.440129295245374,0.114932645457151,0.444938059297475,381,170,671,2.79023348264054,0.74502538341061,3.92195903018218,381,0,0.515742766836859,0.0224410406029662,0.0853026987600292,0.0655604181862388,0.310953075613907,0,12,4,136,50,179,1.59740419740652,0.6311602732176,2.71120469783332,23,0.17,4.05,23.82352941
"21","P2N",6.44347124427648,0.995434973259748,219.05676722164,1501,"P2-N_Soil","Pine",2,"Soil","Pine_Soil","N","P2_Soil",0.424248537421828,0.123818686860849,0.451932775717323,467,244,790,3.38879937167005,0.848304504834523,6.59215356994715,528,5.14592999819892e-05,0.0752763793236533,0.024005763441598,0.0700961431254663,0.0474969338833761,0.783073320925924,2,30,13,165,66,252,2.02196977422224,0.742471604288593,3.88306694194851,26,0.11,3.58,32.54545455
"22","P2S",6.22234502018879,0.994567211136993,184.067525025539,1372,"P2-S_Soil","Pine",2,"Soil","Pine_Soil","S","P2_Soil",0.388556659930438,0.184462682668646,0.426980657400916,347,351,674,3.25845724397697,0.87829809670405,8.21679836483936,402,2.81676916576687e-05,0.223811088681283,0.0411999436646167,0.0438570959109901,0.0138772827566781,0.677226421294775,1,29,13,77,33,249,0.786183732313407,0.319241987003444,1.46895075916655,9,0.13,3.33,25.61538462
"23","P3N",5.88380550160369,0.993678106649045,158.180460264946,952,"P3-N_Soil","Pine",3,"Soil","Pine_Soil","N","P3_Soil",0.293481403377494,0.212020203738032,0.494498392884475,237,257,458,3.43878461742184,0.936015774154927,15.6288520614647,267,0,0.139665520017566,0.0125978921173973,0.0298250750201274,0.00587352704384103,0.812037985801069,0,21,2,53,24,167,2.18415051804,0.876015971304987,8.06555497934244,13,0.1,2.61,26.1
"24","P3S",6.21716025262959,0.994953538690359,198.158657847924,1403,"P3-S_Soil","Pine",3,"Soil","Pine_Soil","S","P3_Soil",0.360957044695858,0.1598191902529,0.479223765051242,350,334,719,3.51899064977257,0.940990967351368,16.9465580965287,355,0,0.309544158262638,0.0291209730381352,0.0673731748787751,0.0130086274368686,0.580953066383584,0,32,6,76,38,203,1.53068840886594,0.700664253113249,3.34073030167805,14,0.13,3.92,30.15384615
"25","P4N",5.77028594852686,0.991533886627544,118.117955194579,951,"P4-N_Soil","Pine",4,"Soil","Pine_Soil","N","P4_Soil",0.377640362322952,0.115769368960496,0.506590268716552,273,187,491,3.89930028542569,0.956612538220255,23.0481332389637,430,0,0.0709783709436073,0.0199437735221656,0.104374178141201,0.0210773718656006,0.783626305527426,0,17,6,97,39,271,2.07701772946572,0.804096223577391,5.10454682528821,16,0.11,2.91,26.45454545
"26","P4S",6.26869529454307,0.994908947871556,196.42305259712,1395,"P4-S_Soil","Pine",4,"Soil","Pine_Soil","S","P4_Soil",0.315720297916971,0.251676114865313,0.432603587217716,272,407,716,3.80749964491001,0.947050979277898,18.8860905520501,426,6.33788151783208e-05,0.208271840792416,0.00279772198430016,0.0556737620759278,0.0131013065090043,0.720091989823173,1,33,4,86,35,267,1.698227093672,0.617684929495026,2.61564368540107,20,0.07,1.71,24.42857143
"27","P5N",5.73548120420778,0.991562578274217,118.519618018399,881,"P5-N_Soil","Pine",5,"Soil","Pine_Soil","N","P5_Soil",0.378074267587236,0.152920320955402,0.469005411457361,272,149,460,4.034602067855,0.963359465797674,27.2921785058613,387,0,0.160608433061179,0.0162286097751929,0.09417291130746,0.0302315177273236,0.698758528128845,0,18,8,109,34,218,2.25738705059481,0.840841898173796,6.28306060782235,26,0.17,4.82,28.35294118
"28","P5S",5.64835555502608,0.990307491865954,103.172469516674,869,"P5-S_Soil","Pine",5,"Soil","Pine_Soil","S","P5_Soil",0.327397141369134,0.109108269197384,0.563494589433482,249,141,479,3.67178738849635,0.948537469010434,19.4316132683552,316,0,0.246734800221882,0.00384932174614648,0.0892151754046831,0.0283908490359886,0.631809853591299,0,18,2,87,27,182,1.6933829024701,0.696767516630054,3.29779972411462,19,0.15,3.88,25.86666667
"29","P6N",6.32875465827051,0.995171120786461,207.087391458486,1442,"P6-N_Soil","Pine",6,"Soil","Pine_Soil","N","P6_Soil",0.313806922639438,0.276389752271615,0.409803325088947,324,453,665,3.6411391672289,0.920464107612128,12.5729399643033,684,0,0.0170602758071076,0.00278518348115072,0.0700814604549133,0.0609371854858256,0.849135894771003,0,25,15,190,78,376,NA,NA,NA,NA,0.07,2.1,30
"30","P6S",5.86932255714509,0.991661147963592,119.920583269009,1090,"P6-S_Soil","Pine",6,"Soil","Pine_Soil","S","P6_Soil",0.458836718738476,0.134073844610642,0.407089436650883,332,198,560,4.14294787700898,0.961942456504932,26.2759996616595,513,0.000203334688897926,0.0637413582757218,0.0125416836112241,0.181455876372509,0.0677023180154534,0.674355429036194,2,26,6,141,51,287,2.96763083986261,0.92168399564488,12.7687821695492,36,0.12,3.38,28.16666667
"31","P7N",5.92997147103129,0.993357139482308,150.537557929546,1068,"P7-N_Soil","Pine",7,"Soil","Pine_Soil","N","P7_Soil",0.370711622542314,0.147447761594378,0.481840615863308,280,226,562,3.82551731023155,0.955867372074144,22.6589724427929,390,0,0.230352443366531,0.00399057398902592,0.0862187591378984,0.00857457385141992,0.670863649655125,0,29,5,94,34,228,1.7840952576819,0.78642709551014,4.68224189013396,12,0.12,3.63,30.25
"32","P7S",6.3253232006587,0.994632555342905,186.308395127678,1524,"P7-S_Soil","Pine",7,"Soil","Pine_Soil","S","P7_Soil",0.395068399272516,0.118426948522628,0.486504652204855,395,265,864,3.40178496702531,0.888515948858953,8.96989291082386,391,0,0.147820547148384,0.0177366190550934,0.099504187171651,0.013683326100806,0.721255320524066,0,17,8,107,45,214,2.13451133943522,0.831018439981503,5.91780546877742,21,0.11,3.1,28.18181818
"33","P8N",5.93928450990652,0.991376529158622,115.962588428051,1137,"P8-N_Soil","Pine",8,"Soil","Pine_Soil","N","P8_Soil",0.400596421471173,0.100646123260437,0.49875745526839,322,198,617,3.82789538509074,0.933366191133011,15.0073966504923,424,0,0.0433513280953893,0.0124563362391289,0.179305682179039,0.0317964372419869,0.733090216244456,0,12,12,123,46,231,0.820395242263026,0.301566690210636,1.43177592761374,17,0.15,3.99,26.6
"34","P8S",6.01535702247851,0.992273465113404,129.424122802425,1377,"P8-S_Soil","Pine",8,"Soil","Pine_Soil","S","P8_Soil",0.395566882555122,0.162664546751152,0.441768570693727,399,286,692,4.26135470589135,0.970267965039231,33.6337556887541,517,0.000125475144849983,0.13053105509835,0.0189615086540945,0.183533232461158,0.0563678636011367,0.61048086504041,1,15,10,155,62,274,1.59394059312258,0.630695246214004,2.70779076020093,20,0.11,3.01,27.36363636
"35","P9N",6.27188640769359,0.993686951028738,158.40206603055,1422,"P9-N_Soil","Pine",9,"Soil","Pine_Soil","N","P9_Soil",0.444310914631529,0.150950684578737,0.404738400789733,427,299,696,4.03003704876497,0.963112076426357,27.1091431319953,478,7.84532505796824e-05,0.27411565752541,0.0139036594082882,0.105179657943827,0.0175037919071114,0.589218779964783,2,17,11,139,43,266,2.38853952389981,0.876551226876473,8.10052602952453,23,0.08,2.16,27
"36","P9S",6.56821275087108,0.996145329371431,259.425537577311,1776,"P9-S_Soil","Pine",9,"Soil","Pine_Soil","S","P9_Soil",0.381060239737358,0.188545033466521,0.430394726796121,428,426,922,4.34979378459685,0.969431336805276,32.7132394907147,627,0.000458478022771075,0.159023951231523,0.0148495937375298,0.0896154727842352,0.0246814002258429,0.711371103998098,8,31,14,188,61,325,2.70166522046309,0.908374258477668,10.9139635148957,24,0.09,2.58,28.66666667
